zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,1,0,0,0.6931471805599453,3.713572066704308,13.527829818844937
1,0,0,0,1.3862943611198906,4.875197323201151,7.8636512654486515
1,0,0,0,1.3862943611198906,4.174387269895637,7.484930283289661
0,0,1,0,1.0986122886681096,4.143134726391533,7.972810784121404
0,0,1,0,1.0986122886681096,4.110873864173311,7.293697720601438
1,0,0,0,1.3862943611198906,4.61512051684126,8.026496938945412
0,1,0,0,1.0986122886681096,4.189654742026425,7.696667081526462
1,0,0,0,1.3862943611198906,4.875197323201151,8.03947991910045
0,0,1,0,1.0986122886681096,4.875197323201151,8.288785810426928
0,0,1,0,1.0986122886681096,4.394449154672439,7.972810784121404
0,1,0,0,1.3862943611198906,5.262690188904886,8.160803920954665
0,0,1,0,1.0986122886681096,4.07753744390572,7.496097345175956
0,0,1,0,1.0986122886681096,4.3694478524670215,8.434028950155469
0,0,1,0,0.6931471805599453,3.367295829986474,7.601402334583733
0,0,0,1,1.3862943611198906,4.3694478524670215,8.517393171418904
0,0,1,0,1.3862943611198906,4.962844630259907,8.517393171418904
0,1,0,0,0.6931471805599453,3.713572066704308,7.3783837129967145
0,1,0,0,1.0986122886681096,4.454347296253507,7.473069088032197
0,0,1,0,1.0986122886681096,3.9318256327243257,13.652992804936396
1,0,0,0,1.0986122886681096,4.51085950651685,7.791935956938058
0,0,1,0,1.3862943611198906,4.543294782270004,8.006700845440367
0,1,0,0,1.6094379124341003,5.802118375377063,9.305741456739435
0,0,0,1,1.0986122886681096,4.204692619390966,7.640603826393634
1,0,0,0,1.0986122886681096,4.2626798770413155,6.90875477931522
1,0,0,0,0.6931471805599453,3.828641396489095,13.652992804936396
0,0,0,1,1.3862943611198906,4.969813299576001,9.392745258631441
0,0,0,1,1.0986122886681096,3.8712010109078907,7.170888478512505
0,0,1,0,0.6931471805599453,3.4965075614664802,7.3783837129967145
0,1,0,0,1.0986122886681096,4.110873864173311,7.3783837129967145
0,0,1,0,1.3862943611198906,5.484796933490655,8.026496938945412
1,0,0,0,1.0986122886681096,4.204692619390966,7.467942332285852
1,0,0,0,1.0986122886681096,3.6635616461296463,7.0909098220799835
0,0,1,0,1.3862943611198906,4.418840607796598,7.8636512654486515
0,1,0,0,1.0986122886681096,3.912023005428146,7.591357046698551
0,1,0,0,1.3862943611198906,4.330733340286331,7.640603826393634
0,0,0,1,1.3862943611198906,4.51085950651685,7.8636512654486515
0,0,1,0,1.0986122886681096,4.2626798770413155,7.824445930877619
1,0,0,0,1.0986122886681096,5.993961427306569,9.210440366976517
0,1,0,0,1.0986122886681096,3.8066624897703196,8.006700845440367
0,1,0,0,1.0986122886681096,4.499809670330265,7.3783837129967145
1,0,0,0,1.0986122886681096,3.9318256327243257,7.417580402414544
0,1,0,0,0.6931471805599453,4.02535169073515,6.90875477931522
1,0,0,0,1.0986122886681096,3.9318256327243257,7.170888478512505
0,1,0,0,0.6931471805599453,3.9889840465642745,7.057036981697891
0,1,0,0,0.6931471805599453,3.9318256327243257,13.710151153416941
